"Species","length"
"B.mandarina
(Sakado)",3.309271485
"B.mandarina
(Sakado)",2.962841515
"B.mandarina
(Sakado)",3.995299343
"B.mandarina
(Sakado)",3.341512079
"B.mandarina
(Sakado)",3.076454811
"B.mandarina
(Sakado)",3.879688307
"B.mandarina
(Sakado)",3.326329325
"B.mandarina
(Sakado)",3.41872391
"B.mandarina
(Sakado)",2.262793541
"B.mandarina
(Sakado)",3.371378936
"B.mandarina
(Sakado)",3.849255872
"B.mandarina
(Sakado)",3.638110535
"B.mandarina
(Sakado)",3.456154866
"B.mandarina
(Sakado)",4.064926475
"B.mandarina
(Sakado)",3.681059681
"B.mandarina
(Sakado)",4.068442773
"B.mandarina
(Sakado)",3.669551372
"B.mandarina
(Sakado)",4.012625845
"B.mandarina
(Sakado)",3.605501843
"B.mandarina
(Sakado)",3.761080561
"B.mandarina
(Sakado)",4.289906902
"B.mandarina
(Sakado)",4.725048409
"B.mandarina
(Sakado)",4.122077191
"B.mandarina
(Sakado)",3.742432301
"B.mandarina
(Sakado)",3.820242842
"B.mandarina
(Sakado)",5.20260291
"B.mandarina
(Sakado)",3.356612467
"B.mandarina
(Sakado)",3.448072437
"B.mandarina
(Sakado)",3.312399818
"B.mandarina
(Sakado)",3.416929943
"B.mandarina
(Sakado)",2.357409981
"B.mandarina
(Sakado)",2.693065692
"B.mandarina
(Sakado)",3.411026545
"B.mandarina
(Sakado)",3.322981834
"B.mandarina
(Sakado)",3.543290259
"B.mandarina
(Sakado)",2.58527522
"B.mandarina
(Sakado)",4.029849288
"B.mandarina
(Sakado)",4.720361879
"B.mandarina
(Sakado)",2.822725667
"B.mandarina
(Sakado)",3.560312375
"B.mandarina
(Sakado)",2.950122859
"B.mandarina
(Sakado)",3.964792355
"B.mandarina
(Sakado)",3.441375908
"B.mandarina
(Sakado)",3.436645734
"B.mandarina
(Sakado)",3.833133171
"B.mandarina
(Sakado)",3.381666749
"B.mandarina
(Sakado)",4.0067436
"B.mandarina
(Sakado)",3.000529699
"B.mandarina
(Sakado)",2.311847954
"B.mandarina
(Sakado)",3.373526802
"B.mandarina
(Sakado)",3.225348197
"B.mandarina
(Sakado)",3.255654928
"B.mandarina
(Sakado)",3.769232437
"B.mandarina
(Sakado)",4.365627139
"B.mandarina
(Sakado)",3.721606288
"B.mandarina
(Sakado)",3.802898739
"B.mandarina
(Sakado)",1.529543811
"B.mandarina
(Sakado)",2.931020968
"B.mandarina
(Sakado)",3.715565786
"B.mandarina
(Sakado)",3.138495659
"B.mori
(p50T)",0.81
"B.mori
(p50T)",0.87
"B.mori
(p50T)",1.17
"B.mori
(p50T)",0.94
"B.mori
(p50T)",0.88
"B.mori
(p50T)",0.92
"B.mori
(p50T)",1.01
"B.mori
(p50T)",0.85
"B.mori
(p50T)",1.09
"B.mori
(p50T)",0.9
"B.mori
(p50T)",0.99
"B.mori
(p50T)",0.77
"B.mori
(p50T)",0.97
"F1",2.74
"F1",2.55
"F1",2.34
"F1",2.23
"F1",2.4
"F1",2.47
"F1",1.59
"F1",2.09
"F1",2.55
"F1",2.58
"F1",1.74
"F1",2.36
"F1",2.05
"F2",1.394068882
"F2",1.809799074
"F2",1.874247927
"F2",1.431828462
"F2",1.730433668
"F2",1.964062947
"F2",1.959325844
"F2",1.58014362
"F2",1.501424665
"F2",1.55125944
"F2",1.870816653
"F2",1.512614713
"F2",1.566500064
"F2",1.740207191
"F2",1.685269193
"F2",1.964807261
"F2",1.288977009
"F2",1.357771623
"F2",1.577120541
"F2",1.94445334
"F2",1.44878199
"F2",1.520569314
"F2",2.335382132
"F2",1.617561204
"F2",1.561731267
"F2",1.579818815
"F2",1.930298017
"F2",1.895778911
"F2",1.932177944
"F2",1.775557063
"F2",2.370306695
"F2",1.985803085
"F2",1.58950068
"F2",1.427294306
"F2",1.52979971
"F2",2.235354675
"F2",2.109737201
"F2",2.405756254
"F2",1.794508097
"F2",1.892545058
"F2",1.583459209
"F2",1.968774225
"F2",1.633652998
"F2",1.669773253
"F2",1.879959563
"F2",2.312948908
"F2",1.94413078
"F2",2.020700286
"F2",1.904364899
"F2",2.154129404
"F2",1.155768833
"F2",2.038734899
"F2",1.900665276
"F2",1.978413583
"F2",2.061361841
"F2",2.456005491
"F2",2.034152846
"F2",1.682930764
"F2",1.760341332
"F2",1.9357176
"F2",1.549030421
"F2",1.811152251
"F2",1.188420801
