Gene	Stage	Segment	Bmori_cDNA_1	Bmand_cDNA_1	Bmand_gDNA_1	Bmori_gDNA_1	Bmori_cDNA_2	Bmand_cDNA_2	Bmand_gDNA_2	Bmori_gDNA_2	Bmori_cDNA_3	Bmand_cDNA_3	Bmand_gDNA_3	Bmori_gDNA_3	Bmori_cDNA_4	Bmand_cDNA_4	Bmand_gDNA_4	Bmori_gDNA_4	tx_cDNA_BmandBmori_biol_1_mean	tx_cDNA_BmandBmori_biol_2_mean	tx_cDNA_BmandBmori_biol_3_mean	tx_cDNA_BmandBmori_biol_4_mean	tx_gDNA_BmandBmori_biol_1	tx_gDNA_BmandBmori_biol_2	tx_gDNA_BmandBmori_biol_3	tx_gDNA_BmandBmori_biol_4	Bmand_cDNA_mean	Bmori_cDNA_mean	Bmand_gDNA_mean	Bmori_gDNA_mean	cDNA_div	gDNA_div	log2_OD	mean_Bmand_cDNA_caudal	mean_Bmori_cDNA_caudal	MEAN_Bmand_cDNA_caudal_Bmori_cDNA_caudal
1.wnt9	L1	caudal	1001.33333333333	670.666666666667	2979	2884	674.666666666667	549.666666666667	9492	8939	949.333333333333	998.333333333333	9212	8685	1007	1046.66666666667	8124	7883	1672	1224.33333333333	1947.66666666667	2053.66666666667	5863	18431	17897	16007	816.333333333333	908.083333333333	7451.75	7097.75	0.898963017344223	1.04987496037477	-0.223883843111513	816.333333333333	908.083333333333	0.898963017344223
10.IntB3	L1	caudal	551.333333333333	614	840	889	357	361.333333333333	2563	2643	543	660.333333333333	951	871	453.666666666667	422.333333333333	5333	5234	1165.33333333333	718.333333333333	1203.33333333333	876	1729	5206	1822	10567	514.5	476.25	2421.75	2409.25	1.08031496062992	1.00518833661928	0.103986147934512	514.5	476.25	1.08031496062992
11.IntB-PS-like	L1	caudal	1381	1868.66666666667	3190	3263	972.666666666667	1129	6307	6486	1320	1802.66666666667	7282	7239	1469	1356	6904	6978	3249.66666666667	2101.66666666667	3122.66666666667	2825	6453	12793	14521	13882	1539.08333333333	1285.66666666667	5920.75	5991.5	1.19710915219082	0.988191604773429	0.276691998476556	1539.08333333333	1285.66666666667	1.19710915219082
12.Teneurin-2	L1	caudal	904.666666666667	701.666666666667	5363	5253	843.666666666667	831.666666666667	16541	16498	1089.33333333333	560.666666666667	14590	14652	1055	448.333333333333	15764	15822	1606.33333333333	1675.33333333333	1650	1503.33333333333	10616	33039	29242	31586	635.583333333333	973.166666666667	13064.5	13056.25	0.653108408974139	1.00063188128291	-0.615516935471885	635.583333333333	973.166666666667	0.653108408974139
13.STPK26-like	L1	caudal	436	464.5	999	971	383	397.666666666667	1918	1897	194	190	863	831	266.666666666667	283.333333333333	5	3	900.5	780.666666666667	384	550	1970	3815	1694	8	333.875	319.916666666667	946.25	925.5	1.04363115394634	1.02242031334414	0.0296235115067965	333.875	319.916666666667	1.04363115394634
2.wnt1	L1	caudal	571	633	2199	2171	543.333333333333	530	2504	2427	248.666666666667	368.333333333333	1538	1565	276.333333333333	594.333333333333	26700	25623	1204	1073.33333333333	617	870.666666666667	4370	4931	3103	52323	531.416666666667	409.833333333333	8235.25	7946.5	1.29666531110207	1.0363367520292	0.323313271096265	531.416666666667	409.833333333333	1.29666531110207
3.wnt6	L1	caudal	543.333333333333	893.333333333333	1242	1150	477.333333333333	423	1327	1297	434.666666666667	645.666666666667	1018	991	243.333333333333	863.666666666667	37	39	1436.66666666667	900.333333333333	1080.33333333333	1107	2392	2624	2009	76	706.416666666667	424.666666666667	906	869.25	1.66346153846154	1.04227782571182	0.674448621177025	706.416666666667	424.666666666667	1.66346153846154
4.wnt10	L1	caudal	592.666666666667	321	5478	5088	686.333333333333	678.333333333333	11928	11502	736.333333333333	728	12210	11511	537.333333333333	346.666666666667	12836	11607	913.666666666667	1364.66666666667	1464.33333333333	884	10566	23430	23721	24443	518.5	638.166666666667	10613	9927	0.812483677200313	1.06910446257681	-0.395992091506488	518.5	638.166666666667	0.812483677200313
5.ninaC	L1	caudal	1617.66666666667	1546.66666666667	5400	5132	1523.66666666667	1416.33333333333	11889	11174	1797	1646.33333333333	9020	8501	3286.33333333333	3810.33333333333	10188	9822	3164.33333333333	2940	3443.33333333333	7096.66666666667	10532	23063	17521	20010	2104.91666666667	2056.16666666667	9124.25	8657.25	1.02370916754478	1.05394322677525	-0.0419912462137262	2104.91666666667	2056.16666666667	1.02370916754478
6.lolaI	L1	caudal	621.333333333333	597.666666666667	399	372	671	566.333333333333	948	1061	651.666666666667	602.666666666667	467	544	540	523.333333333333	5015	5263	1219	1237.33333333333	1254.33333333333	1063.33333333333	771	2009	1011	10278	572.5	621	1707.25	1810	0.921900161030596	0.943232044198895	-0.0330022118360661	572.5	621	0.921900161030596
