Gene	Stage	Segment	Bmori_cDNA_1	Bmand_cDNA_1	Bmand_gDNA_1	Bmori_gDNA_1	Bmori_cDNA_2	Bmand_cDNA_2	Bmand_gDNA_2	Bmori_gDNA_2	Bmori_cDNA_3	Bmand_cDNA_3	Bmand_gDNA_3	Bmori_gDNA_3	Bmori_cDNA_4	Bmand_cDNA_4	Bmand_gDNA_4	Bmori_gDNA_4	tx_cDNA_BmandBmori_biol_1_mean	tx_cDNA_BmandBmori_biol_2_mean	tx_cDNA_BmandBmori_biol_3_mean	tx_cDNA_BmandBmori_biol_4_mean	tx_gDNA_BmandBmori_biol_1	tx_gDNA_BmandBmori_biol_2	tx_gDNA_BmandBmori_biol_3	tx_gDNA_BmandBmori_biol_4	Bmand_cDNA_mean	Bmori_cDNA_mean	Bmand_gDNA_mean	Bmori_gDNA_mean	cDNA_div	gDNA_div	log2_OD	mean_Bmand_cDNA_noncaudal	mean_Bmori_cDNA_noncaudal	MEAN_Bmand_cDNA_caudal_Bmori_cDNA_noncaudal
1.wnt9	L5	noncaudal	1476	1105.33333333333	2979	2884	111.666666666667	77.3333333333333	9492	8939	476.333333333333	654.666666666667	9212	8685	946.333333333333	796.666666666667	8124	7883	2581.33333333333	189	1131	1743	5863	18431	17897	16007	658.5	752.583333333333	7451.75	7097.75	0.874986158786402	1.04987496037477	-0.262885413243843	658.5	752.583333333333	0.874986158786402
10.IntB3	L5	noncaudal	523	594.666666666667	840	889	126.333333333333	155.333333333333	2563	2643	180.666666666667	146.333333333333	951	871	407.666666666667	434.666666666667	5333	5234	1117.66666666667	281.666666666667	327	842.333333333333	1729	5206	1822	10567	332.75	309.416666666667	2421.75	2409.25	1.07541071909507	1.00518833661928	0.0974219201995351	332.75	309.416666666667	1.07541071909507
11.IntB-PS-like	L5	noncaudal	1727.33333333333	1995	3190	3263	275.333333333333	328	6307	6486	488.666666666667	587.666666666667	7282	7239	1660.66666666667	1854.66666666667	6904	6978	3722.33333333333	603.333333333333	1076.33333333333	3515.33333333333	6453	12793	14521	13882	1191.33333333333	1038	5920.75	5991.5	1.14771997430957	0.988191604773429	0.215907985493444	1191.33333333333	1038	1.14771997430957
12.Teneurin-2	L5	noncaudal	784	950.333333333333	5363	5253	208	99.6666666666667	16541	16498	177.333333333333	119	14590	14652	998.666666666667	751.333333333333	15764	15822	1734.33333333333	307.666666666667	296.333333333333	1750	10616	33039	29242	31586	480.083333333333	542	13064.5	13056.25	0.885762607626076	1.00063188128291	-0.175919323695076	480.083333333333	542	0.885762607626076
13.STPK26-like	L5	noncaudal	451	437.333333333333	999	971	120.666666666667	109	1918	1897	42.3333333333333	29	863	831	239.333333333333	229.333333333333	5	3	888.333333333333	229.666666666667	71.3333333333333	468.666666666667	1970	3815	1694	8	201.166666666667	213.333333333333	946.25	925.5	0.94296875	1.02242031334414	-0.116706539134861	201.166666666667	213.333333333333	0.94296875
2.wnt1	L5	noncaudal	440.333333333333	621.333333333333	2199	2171	294.666666666667	337.333333333333	2504	2427	97.6666666666667	101	1538	1565	699.333333333333	713.666666666667	26700	25623	1061.66666666667	632	198.666666666667	1413	4370	4931	3103	52323	443.333333333333	383	8235.25	7946.5	1.15752828546562	1.0363367520292	0.159554572575131	443.333333333333	383	1.15752828546562
3.wnt6	L5	noncaudal	498.666666666667	907	1242	1150	160.666666666667	182	1327	1297	91.6666666666667	125.333333333333	1018	991	528.666666666667	481.666666666667	37	39	1405.66666666667	342.666666666667	217	1010.33333333333	2392	2624	2009	76	424	319.916666666667	906	869.25	1.32534514196405	1.04227782571182	0.346628222118799	424	319.916666666667	1.32534514196405
4.wnt10	L5	noncaudal	702.333333333333	759.666666666667	5478	5088	5	5	11928	11502	174	92	12210	11511	2.66666666666667	1.33333333333333	12836	11607	1462	10	266	4	10566	23430	23721	24443	214.5	221	10613	9927	0.970588235294118	1.06910446257681	-0.139471548082595	214.5	221	0.970588235294118
5.ninaC	L5	noncaudal	3716.66666666667	4241	5400	5132	778.666666666667	983.666666666667	11889	11174	1062	762.666666666667	9020	8501	3655.66666666667	4171	10188	9822	7957.66666666667	1762.33333333333	1824.66666666667	7826.66666666667	10532	23063	17521	20010	2539.58333333333	2303.25	9124.25	8657.25	1.10260863272911	1.05394322677525	0.0651236471987886	2539.58333333333	2303.25	1.10260863272911
6.lolaI	L5	noncaudal	600.666666666667	599.333333333333	399	372	281.666666666667	259	948	1061	209.333333333333	257	467	544	641	559.333333333333	5015	5263	1200	540.666666666667	466.333333333333	1200.33333333333	771	2009	1011	10278	418.666666666667	433.166666666667	1707.25	1810	0.96652558676414	0.943232044198895	0.035195193819536	418.666666666667	433.166666666667	0.96652558676414
