Sample,Species,Stage,Tissue,DaysAfterMolt,rp49,Wnt1_2,Wnt6
Bmori_4th0_c,B. mori,4th0,Caudal,0,24.57282639,34.78668594,29.8490963
Bmori_4th0_c,B. mori,4th0,Caudal,0,23.74279594,32.98052597,28.19735527
Bmori_4th0_c,B. mori,4th0,Caudal,0,23.27576256,34.85426331,29.27264214
Bmori_4th0_c,B. mori,4th0,Caudal,0,23.80550194,34.55134964,30.04963112
Bmori_4th1_c,B. mori,4th1,Caudal,1,23.29645157,33.77641678,27.28325653
Bmori_4th1_c,B. mori,4th1,Caudal,1,23.80999947,33.98004532,27.36836433
Bmori_4th1_c,B. mori,4th1,Caudal,1,22.70801735,34.01342392,27.7145462
Bmori_4th1_c,B. mori,4th1,Caudal,1,22.83793259,35.44198227,26.62602425
Bmori_4th2_c,B. mori,4th2,Caudal,2,24.37094116,36.96209335,27.34281349
Bmori_4th2_c,B. mori,4th2,Caudal,2,24.79264069,35.59182739,27.31319237
Bmori_4th2_c,B. mori,4th2,Caudal,2,24.49222183,36.91257095,27.51158524
Bmori_4th2_c,B. mori,4th2,Caudal,2,23.99808311,34.59054184,27.80741692
Bmori_4th3_c,B. mori,4th3,Caudal,3,24.21794128,34.77322769,27.29907417
Bmori_4th3_c,B. mori,4th3,Caudal,3,24.79010963,34.38713837,28.30524254
Bmori_4th3_c,B. mori,4th3,Caudal,3,25.39658737,35.06275558,29.62379456
Bmori_4th3_c,B. mori,4th3,Caudal,3,24.6162281,34.67905045,26.67756844
Bmori_4th4_c,B. mori,4th4,Caudal,4,24.3901329,34.04414749,30.23604774
Bmori_4th4_c,B. mori,4th4,Caudal,4,24.74634361,35.32451248,30.32949638
Bmori_4th4_c,B. mori,4th4,Caudal,4,24.69144058,34.64146423,36.93122101
Bmori_4th4_c,B. mori,4th4,Caudal,4,24.97371864,34.95404434,NA
Bmori_5th0_c,B. mori,5th0,Caudal,5,24.25704575,34.24641037,29.5781002
Bmori_5th0_c,B. mori,5th0,Caudal,5,24.18204117,34.6194725,35.73057556
Bmori_5th0_c,B. mori,5th0,Caudal,5,23.96929741,35.85964966,30.48441315
Bmori_5th0_c,B. mori,5th0,Caudal,5,23.58403397,35.2717247,29.20064735
Bmand_4th0_c,B. mandarina,4th0,Caudal,0,23.530056,34.83705139,29.31788254
Bmand_4th0_c,B. mandarina,4th0,Caudal,0,24.15844727,34.06296921,27.43943024
Bmand_4th0_c,B. mandarina,4th0,Caudal,0,23.70077324,32.92749786,30.23913002
Bmand_4th0_c,B. mandarina,4th0,Caudal,0,24.23154259,34.99433136,26.2196846
Bmand_4th1_c,B. mandarina,4th1,Caudal,1,23.97823143,34.36384201,25.8608017
Bmand_4th1_c,B. mandarina,4th1,Caudal,1,23.7466774,34.30699921,27.34898186
Bmand_4th1_c,B. mandarina,4th1,Caudal,1,24.72094917,33.69950867,26.3049202
Bmand_4th1_c,B. mandarina,4th1,Caudal,1,23.30762863,34.07003021,24.63596916
Bmand_4th2_c,B. mandarina,4th2,Caudal,2,24.17342758,34.6490593,25.73569489
Bmand_4th2_c,B. mandarina,4th2,Caudal,2,23.98963356,33.59966278,26.00885963
Bmand_4th2_c,B. mandarina,4th2,Caudal,2,24.12334442,35.35009384,26.84095955
Bmand_4th2_c,B. mandarina,4th2,Caudal,2,25.48033142,34.9007988,28.53082466
Bmand_4th3_c,B. mandarina,4th3,Caudal,3,25.09684181,34.93234634,27.4249115
Bmand_4th3_c,B. mandarina,4th3,Caudal,3,25.24279213,33.65055466,25.69948578
Bmand_4th3_c,B. mandarina,4th3,Caudal,3,24.76600647,33.60401154,26.940979
Bmand_4th3_c,B. mandarina,4th3,Caudal,3,24.93504333,33.11991119,28.53302383
Bmand_4th4_c,B. mandarina,4th4,Caudal,4,25.26031685,34.80202484,29.92721939
Bmand_4th4_c,B. mandarina,4th4,Caudal,4,25.51703453,34.85348511,29.310709
Bmand_4th4_c,B. mandarina,4th4,Caudal,4,24.92794228,34.56023407,34.22269821
Bmand_4th4_c,B. mandarina,4th4,Caudal,4,24.57946205,34.94397736,35.51514053
Bmand_5th0_c,B. mandarina,5th0,Caudal,5,23.83037949,33.56452942,27.23054695
Bmand_5th0_c,B. mandarina,5th0,Caudal,5,24.48649025,35.81921387,28.37659645
Bmand_5th0_c,B. mandarina,5th0,Caudal,5,24.19423103,35.03284073,27.65258789
Bmand_5th0_c,B. mandarina,5th0,Caudal,5,24.46080971,34.28944397,28.79594803
Bmori_4th0_nc,B. mori,4th0,Non-caudal,0,22.52506638,35.87816238,32.71759033
Bmori_4th0_nc,B. mori,4th0,Non-caudal,0,23.12666893,32.98177338,NA
Bmori_4th0_nc,B. mori,4th0,Non-caudal,0,23.06909752,34.55618286,37.84484482
Bmori_4th0_nc,B. mori,4th0,Non-caudal,0,22.97111893,33.88162613,30.24751663
Bmori_4th1_nc,B. mori,4th1,Non-caudal,1,21.69738579,34.91814423,34.16467667
Bmori_4th1_nc,B. mori,4th1,Non-caudal,1,23.02708626,34.56042862,30.06010246
Bmori_4th1_nc,B. mori,4th1,Non-caudal,1,22.23565865,33.95336914,29.00184822
Bmori_4th1_nc,B. mori,4th1,Non-caudal,1,23.14527321,32.12600708,30.19682121
Bmori_4th2_nc,B. mori,4th2,Non-caudal,2,22.80733681,34.03378677,29.95195198
Bmori_4th2_nc,B. mori,4th2,Non-caudal,2,23.01533127,34.36142349,35.91231537
Bmori_4th2_nc,B. mori,4th2,Non-caudal,2,23.98994827,33.77184296,29.72822571
Bmori_4th2_nc,B. mori,4th2,Non-caudal,2,23.73754501,34.54740906,31.31497765
Bmori_4th3_nc,B. mori,4th3,Non-caudal,3,23.30012894,34.85771561,NA
Bmori_4th3_nc,B. mori,4th3,Non-caudal,3,22.83841324,33.48543549,33.72740173
Bmori_4th3_nc,B. mori,4th3,Non-caudal,3,23.94396019,33.56581116,29.95594597
Bmori_4th3_nc,B. mori,4th3,Non-caudal,3,23.18769646,35.51820374,28.8061676
Bmori_4th4_nc,B. mori,4th4,Non-caudal,4,24.29248047,32.90407562,27.73490715
Bmori_4th4_nc,B. mori,4th4,Non-caudal,4,24.22625542,35.42907715,27.69506645
Bmori_4th4_nc,B. mori,4th4,Non-caudal,4,23.59667015,33.87885666,28.63199615
Bmori_4th4_nc,B. mori,4th4,Non-caudal,4,23.8615036,34.10069275,29.60967445
Bmori_5th0_nc,B. mori,5th0,Non-caudal,5,23.42549515,34.11141205,30.64436913
Bmori_5th0_nc,B. mori,5th0,Non-caudal,5,23.3848877,34.22343445,31.45894051
Bmori_5th0_nc,B. mori,5th0,Non-caudal,5,23.15529633,35.32616806,32.34801483
Bmori_5th0_nc,B. mori,5th0,Non-caudal,5,23.32649803,33.50439835,28.30821609
Bmand_4th0_nc,B. mandarina,4th0,Non-caudal,0,23.48602295,35.57773209,27.99692726
Bmand_4th0_nc,B. mandarina,4th0,Non-caudal,0,23.75525093,34.9271965,27.48944664
Bmand_4th0_nc,B. mandarina,4th0,Non-caudal,0,23.78447723,35.17114639,28.23900414
Bmand_4th0_nc,B. mandarina,4th0,Non-caudal,0,23.15822029,34.42683029,28.59674072
