Strain	corrected_horn_length	Who
T04	1.50949391513307	Laura
T04	1.43781526107663	Laura
T04	1.33517935853345	Laura
T04	1.6971184415236	Laura
T04	1.37648581203194	Laura
T04	1.36973536053118	Laura
T04	1.52730470751186	Laura
T04	1.32411055602966	Laura
T04	1.50264352794065	Laura
T04	1.33891023058459	Laura
T04	1.50251251066641	Laura
T04	1.52129384235088	Laura
T04	1.60854721367398	Laura
T04	1.28469757300125	Laura
T04	1.29832242907891	Laura
T04	1.33458797533194	Laura
Wnt1del7	0.685940303417727	Laura
Wnt1del7	0.861427662713482	Laura
Wnt1del7	1.01227489290116	Laura
Wnt1del7	0.867311905665746	Laura
Wnt1del7	0.767810504783543	Laura
Wnt1del7	0.77765914404453	Laura
Wnt1del7	0.704937960422951	Laura
Wnt1del7	0.789122598240677	Laura
Wnt1del7	0.841302074917011	Laura
Wnt1del7	0.794559329190602	Laura
Wnt1del7	1.05051246929507	Laura
Wnt1del7	1.0879426464125	Laura
Wnt1del7	0.719198507994999	Laura
Wnt6del2	1.56808097128902	Laura
Wnt6del2	1.25798523787298	Laura
Wnt6del2	1.46188109052255	Laura
Wnt6del2	1.25623734135657	Laura
Wnt6del2	1.50420020739738	Laura
Wnt6del2	1.33169889894824	Laura
Wnt6del2	1.40444621576103	Laura
Wnt6del2	1.42748944484017	Laura
Wnt6del2	1.25705225126421	Laura
Wnt6del2	1.1394259096706	Laura
Wnt6del2	1.19854920370424	Laura
Wnt6del2	1.22721151984981	Laura
Wnt6del2	1.34649292306183	Laura
Wnt6del2	1.17343316419777	Laura
Wnt6del2	1.41271630652062	Laura
Wnt6del2	1.44429536110981	Laura
Wnt6del2	1.2759211229998	Laura
Wnt6del2	1.22988282963338	Laura
