species,length_cm,strain
B. mori x F1,1.698985873,p50TxF1
B. mori x F1,1.952069717,p50TxF1
B. mori x F1,2.204788374,p50TxF1
B. mori x F1,1.732902294,p50TxF1
B. mori x F1,1.977569056,p50TxF1
B. mori x F1,1.4979892,p50TxF1
B. mori x F1,2.406841711,p50TxF1
B. mori x F1,1.532347421,p50TxF1
B. mori x F1,2.036672622,p50TxF1
B. mori x F1,2.069297541,p50TxF1
B. mori x F1,0.909215406,p50TxF1
B. mori x F1,1.698788131,p50TxF1
B. mori x F1,1.955207176,p50TxF1
B. mori x F1,1.536661591,p50TxF1
B. mori x F1,1.628341891,p50TxF1
B. mori x F1,2.36889534,p50TxF1
B. mori x F1,1.709962793,p50TxF1
B. mori x F1,1.236042499,p50TxF1
B. mori x F1,2.070017533,p50TxF1
B. mori x F1,1.807752258,p50TxF1
B. mori x F1,2.11308385,p50TxF1
B. mori x F1,1.264683504,p50TxF1
B. mori x F1,1.222789354,p50TxF1
B. mori x F1,2.282134384,p50TxF1
B. mori x F1,1.136821119,p50TxF1
B. mori x F1,1.553299295,p50TxF1
B. mori x F1,1.65199142,p50TxF1
B. mori x F1,1.416621518,p50TxF1
B. mori x F1,1.758173737,p50TxF1
B. mori x F1,1.827298952,p50TxF1
B. mori x F1,1.998460624,p50TxF1
B. mori x F1,2.085868274,p50TxF1
B. mori x F1,1.776143331,p50TxF1
B. mori x F1,2.067335348,p50TxF1
B. mori x F1,2.27697654,p50TxF1
B. mori x F1,2.527889534,p50TxF1
B. mori x F1,1.539824933,p50TxF1
B. mori x F1,2.02606677,p50TxF1
B. mori x F1,2.043677562,p50TxF1
B. mori x F1,1.926941973,p50TxF1
B. mori x F1,1.453359287,p50TxF1
B. mori x F1,1.879901189,p50TxF1
B. mori x F1,2.127312031,p50TxF1
B. mori x F1,1.706529589,p50TxF1
B. mori x F1,1.557747974,p50TxF1
B. mori x F1,1.615024679,p50TxF1
B. mori x F1,1.878343882,p50TxF1
B. mori x F1,1.237898207,p50TxF1
B. mori x F1,1.336692796,p50TxF1
B. mori x F1,1.091304454,p50TxF1
B. mori x F1,1.706253285,p50TxF1
B. mori x F1,1.648566525,p50TxF1
B. mori x F1,1.648155828,p50TxF1
B. mori x F1,1.852017464,p50TxF1
B. mori x F1,2.07929452,p50TxF1
B. mori x F1,1.853150739,p50TxF1
B. mori x F1,1.233519026,p50TxF1
B. mori x F1,1.152326835,p50TxF1
B. mori x F1,1.163007351,p50TxF1
B. mori x F1,1.803104433,p50TxF1
B. mori x F1,1.080516507,p50TxF1
B. mori x F1,1.153368489,p50TxF1
B. mori x F1,1.609019986,p50TxF1
B. mori x F1,1.42541666,p50TxF1
B. mori x F1,1.003419065,p50TxF1
B. mori x F1,1.345248149,p50TxF1
B. mori x F1,1.196733666,p50TxF1
B. mori x F1,1.327470276,p50TxF1
B. mori x F1,1.429106136,p50TxF1
B. mori x F1,1.649963689,p50TxF1
B. mori x F1,1.682412255,p50TxF1
B. mori x F1,1.20498203,p50TxF1
B. mori x F1,1.278713366,p50TxF1
B. mori x F1,1.71362909,p50TxF1
B. mori x F1,1.840447472,p50TxF1
B. mori x F1,1.752326933,p50TxF1
B. mori x F1,1.994094794,p50TxF1
B. mori x F1,1.862006345,p50TxF1
B. mori x F1,1.663462825,p50TxF1
B. mori x F1,1.726170984,p50TxF1
B. mori x F1,1.887944106,p50TxF1
B. mori x F1,1.650473216,p50TxF1
B. mori x F1,2.05893013,p50TxF1
B. mori x F1,1.64353612,p50TxF1
B. mori x F1,2.145542597,p50TxF1
B. mori x F1,1.68168015,p50TxF1
B. mori x F1,1.492636671,p50TxF1
B. mori x F1,1.596118068,p50TxF1
B. mori x F1,1.843535982,p50TxF1
B. mori x F1,1.936148341,p50TxF1
B. mori x F1,1.953520331,p50TxF1
B. mori x F1,2.314618469,p50TxF1
B. mori x F1,1.467652835,p50TxF1
B. mori x F1,1.860941959,p50TxF1
B. mori x F1,1.892374974,p50TxF1
B. mori x F1,1.371844755,p50TxF1
B. mori x F1,1.593322864,p50TxF1
B. mori x F1,1.770805,p50TxF1
B. mori x F1,1.503778686,p50TxF1
B. mori x F1,1.915139651,p50TxF1
B. mori x F1,1.870409757,p50TxF1
B. mori x F1,1.814291609,p50TxF1
B. mori x F1,1.300126435,p50TxF1
B. mori x F1,1.44172513,p50TxF1
B. mori x F1,1.735192518,p50TxF1
B. mori x F1,1.636391489,p50TxF1
B. mori x F1,1.787901635,p50TxF1
B. mori x F1,1.156365282,p50TxF1
B. mori x F1,1.227929642,p50TxF1
B. mori x F1,1.91915192,p50TxF1
B. mori x F1,2.057155715,p50TxF1
B. mori x F1,2.043590547,p50TxF1
B. mori x F1,2.141907065,p50TxF1
B. mori x F1,2.165308177,p50TxF1
B. mori x F1,1.851895937,p50TxF1
B. mori x F1,1.518000476,p50TxF1
B. mori x F1,2.030122153,p50TxF1
B. mori x F1,2.142860451,p50TxF1
B. mori x F1,1.720291639,p50TxF1
B. mori x F1,1.636274854,p50TxF1
B. mori x F1,1.79028701,p50TxF1
B. mori x F1,1.597720887,p50TxF1
B. mori x F1,1.721170633,p50TxF1
B. mori x F1,1.499411031,p50TxF1
B. mori x F1,1.727181855,p50TxF1
B. mori x F1,1.843909476,p50TxF1
B. mori x F1,1.581061907,p50TxF1
B. mori x F1,1.484483865,p50TxF1
B. mori x F1,1.115330519,p50TxF1
B. mori x F1,1.810671028,p50TxF1
B. mori x F1,1.074213674,p50TxF1
B. mori x F1,1.741022713,p50TxF1
B. mori x F1,1.177397899,p50TxF1
B. mori x F1,1.799921111,p50TxF1
B. mori x F1,1.577721935,p50TxF1
B. mori x F1,1.731883594,p50TxF1
B. mori x F1,1.50911129,p50TxF1
B. mori x F1,2.08584808,p50TxF1
B. mori x F1,1.979867551,p50TxF1
B. mori x F1,1.638456104,p50TxF1
B. mori x F1,1.858881708,p50TxF1
B. mori x F1,1.292978467,p50TxF1
B. mori x F1,1.871535549,p50TxF1
B. mori x F1,1.731647225,p50TxF1
B. mori x F1,1.688784548,p50TxF1
B. mori x F1,1.620460903,p50TxF1
B. mori x F1,0.944876385,p50TxF1
B. mori x F1,1.845336303,p50TxF1
B. mori x F1,2.352760804,p50TxF1
B. mori x F1,1.505163698,p50TxF1
B. mori x F1,1.562496088,p50TxF1
B. mori x F1,1.278870186,p50TxF1
B. mori x F1,1.590611846,p50TxF1
B. mori x F1,1.699967854,p50TxF1
B. mori x F1,1.557007988,p50TxF1
B. mori x F1,1.106045624,p50TxF1
B. mori x F1,1.863129394,p50TxF1
B. mori x F1,0.660340529,p50TxF1
B. mori x F1,0.471370187,p50TxF1
B. mori x F1,0.724171581,p50TxF1
B. mori x F1,1.521942975,p50TxF1
B. mori x F1,1.526485561,p50TxF1
