FileName	Weight	area	sizeCAT	Height_Laura	Strain	corrected_horn_length
MC172781.JPG	0.2716	1.26	1.954	1.558663986	T04	1.50949391513307
MC172782.JPG	0.2453	1.277	1.852	1.450602765	T04	1.43781526107663
MC172783.JPG	0.2615	1.03	1.579	1.370377417	T04	1.33517935853345
MC172784.JPG	0.2073	1.04	1.872	1.657337978	T04	1.6971184415236
MC172785.JPG	0.2227	0.9	1.391	1.358009209	T04	1.37648581203194
MC172786.JPG	0.2693	1.073	1.886	1.415723686	T04	1.36973536053118
MC172787.JPG	0.2036	1.094	1.434	1.482405784	T04	1.52730470751186
MC172788.JPG	0.2305	1.032	1.628	1.31642422	T04	1.32411055602966
MC172789.JPG	0.228	0.903	1.432	1.491498773	T04	1.50264352794065
MC172790.JPG	0.218	0.824	1.578	1.3139318	T04	1.33891023058459
MC172791.JPG	0.2012	0.955	1.705	1.454293505	T04	1.50251251066641
MC172792.JPG	0.2721	1.186	1.59	1.571155597	T04	1.52129384235088
MC172793.JPG	0.2632	1.134	1.557	1.646096997	T04	1.60854721367398
MC172794.JPG	0.196	0.862	1.668	1.229285056	T04	1.28469757300125
MC172795.JPG	0.2375	0.952	1.682	1.300319666	T04	1.29832242907891
MC172796.JPG	0.2491	1.014	1.818	1.352632276	T04	1.33458797533194
MC172798.JPG	0.3249	1.537177759	2.111	1.357	p50T	1.25658888828446
MC172800.JPG	0.2504	1.004217355	1.571	0.883	p50T	0.998975944584842
MC172804.JPG	0.2584	1.29115406	1.719	1.064	p50T	1.1567397506197
MC172806.JPG	0.3053	1.323480208	1.719	1.188	p50T	1.14451756349905
MC172808.JPG	0.2681	1.08548337	1.588	0.877	p50T	0.941565865436965
MC172810.JPG	0.306	1.120289994	1.956	1.341	p50T	1.2954843965271
MC172811.JPG	0.2953	0.971647077	1.448	0.745	p50T	0.730562805955481
MC172813.JPG	0.2922	1.263208946	1.831	1.02	p50T	1.01456683111697
MC172816.JPG	0.2519	1.116302987	1.135	0.792	p50T	0.903619158216378
MC172817.JPG	0.3777	1.363881059	1.828	1.269	p50T	1.01523000811452
MC172820.JPG	0.2903	1.246094684	1.864	0.914	p50T	0.914085427183695
MC172828.JPG	0.2693	1.161082386	1.825	1.015	p50T	1.07608043634219
MC172831.JPG	0.2573	1.206009403	1.671	1.118	p50T	1.21393472728991
MC172837.JPG	0.3077	1.338084409	1.812	1.145	p50T	1.09454670530951
MC172838.JPG	0.2975	1.206706513	1.471	0.913	p50T	0.892172852615067
MC172841.JPG	0.316	0.765972466	1.727	0.684	p50T	0.609439154070676
MC172846.JPG	0.2673	1.10514377	1.796	0.842	p50T	0.908889484833479
MC172797.JPG	0.2486	0.689433969	1.373	0.525	Wnt1del7	0.685940303417727
MC172799.JPG	0.3996	1.055322977	1.986	1.205	Wnt1del7	0.861427662713482
MC172801.JPG	0.3338	1.067338386	1.637	1.136	Wnt1del7	1.01227489290116
MC172802.JPG	0.2437	1.027388797	1.837	0.69	Wnt1del7	0.867311905665746
MC172803.JPG	0.3079	1.004145212	1.767	0.805	Wnt1del7	0.767810504783543
MC172805.JPG	0.2846	0.845234893	1.771	0.737	Wnt1del7	0.77765914404453
MC172807.JPG	0.2489	0.794255308	1.276	0.545	Wnt1del7	0.704937960422951
MC172809.JPG	0.3533	0.972627839	1.969	0.978	Wnt1del7	0.789122598240677
MC172812.JPG	0.373	1.082402954	2.046	1.096	Wnt1del7	0.841302074917011
MC172814.JPG	0.2547	0.766671364	1.732	0.654	Wnt1del7	0.794559329190602
MC172815.JPG	0.2607	1.075321429	2.003	0.93	Wnt1del7	1.05051246929507
MC172818.JPG	0.2483	1.048551101	1.771	0.926	Wnt1del7	1.0879426464125
MC172819.JPG	0.3009	0.97594796	1.574	0.733	Wnt1del7	0.719198507994999
MC172821.JPG	0.3182	1.7790193	1.793	1.617	Wnt6del2	1.56808097128902
MC172822.JPG	0.2762	1.5864457	1.982	1.197	Wnt6del2	1.25798523787298
MC172823.JPG	0.2514	1.5090353	2.395	1.336	Wnt6del2	1.46188109052255
MC172825.JPG	0.2719	1.7448633	1.749	1.184	Wnt6del2	1.25623734135657
MC172826.JPG	0.2765	1.636157	1.818	1.444	Wnt6del2	1.50420020739738
MC172827.JPG	0.3386	1.6931663	1.807	1.434	Wnt6del2	1.33169889894824
MC172830.JPG	0.3322	1.6443578	1.657	1.49	Wnt6del2	1.40444621576103
MC172832.JPG	0.2676	1.6513648	1.726	1.344	Wnt6del2	1.42748944484017
MC172833.JPG	0.3056	1.6901556	1.743	1.273	Wnt6del2	1.25705225126421
MC172834.JPG	0.3024	1.5367223	1.673	1.147	Wnt6del2	1.1394259096706
MC172835.JPG	0.3356	1.7020684	1.682	1.293	Wnt6del2	1.19854920370424
MC172836.JPG	0.3128	1.7491013	1.519	1.262	Wnt6del2	1.22721151984981
MC172839.JPG	0.3318	1.7290407	2.011	1.431	Wnt6del2	1.34649292306183
MC172840.JPG	0.2638	1.6258476	1.683	1.08	Wnt6del2	1.17343316419777
MC172842.JPG	0.3149	1.7594449	1.925	1.453	Wnt6del2	1.41271630652062
MC172844.JPG	0.3078	1.7945492	1.955	1.466	Wnt6del2	1.44429536110981
MC172845.JPG	0.3003	1.7324491	1.588	1.278	Wnt6del2	1.2759211229998
MC172847.JPG	0.2835	1.615511	1.778	1.188	Wnt6del2	1.22988282963338
