Individual,Chromosome,AA_Length,AB_Length,BB_Length
indiv2002,Chr1,0,20564333,0
indiv2002,Chr10,16303172,1188762,0
indiv2002,Chr11,20103575,288443,0
indiv2002,Chr12,305475,17167913,0
indiv2002,Chr13,5398071,12126302,0
indiv2002,Chr14,7385510,5776626,0
indiv2002,Chr15,10125680,8150034,0
indiv2002,Chr16,14138052,123958,0
indiv2002,Chr17,289621,16513729,0
indiv2002,Chr18,14685949,843672,0
indiv2002,Chr19,175572,14565517,0
indiv2002,Chr2,5998684,2033955,0
indiv2002,Chr20,11950647,378063,0
indiv2002,Chr21,4211229,11024038,0
indiv2002,Chr22,12931658,4860197,0
indiv2002,Chr23,0,20209724,0
indiv2002,Chr24,5281649,11878226,0
indiv2002,Chr25,0,14018331,0
indiv2002,Chr26,0,11436502,0
indiv2002,Chr27,6492190,3889787,0
indiv2002,Chr28,10544606,0,0
indiv2002,Chr3,13303993,1666037,0
indiv2002,Chr4,220093,18433046,0
indiv2002,Chr5,18155548,839791,0
indiv2002,Chr6,492050,16024100,0
indiv2002,Chr7,3692926,9591472,0
indiv2002,Chr8,615342,15514814,0
indiv2002,Chr9,0,16742382,0
indiv2004,Chr1,0,20564333,0
indiv2004,Chr10,17400020,0,0
indiv2004,Chr11,18529640,1862378,0
indiv2004,Chr12,0,17474332,0
indiv2004,Chr13,0,17613001,0
indiv2004,Chr14,0,13297105,0
indiv2004,Chr15,17643958,699265,0
indiv2004,Chr16,14273373,0,0
indiv2004,Chr17,16803815,0,0
indiv2004,Chr18,843672,14686102,0
indiv2004,Chr19,14565517,175572,0
indiv2004,Chr2,8301930,0,0
indiv2004,Chr20,12328710,0,0
indiv2004,Chr21,226372,15010505,0
indiv2004,Chr22,0,18439758,0
indiv2004,Chr23,19197534,2098732,0
indiv2004,Chr24,14563636,2112261,0
indiv2004,Chr25,4113452,9696587,0
indiv2004,Chr26,3049058,5781466,0
indiv2004,Chr27,4214504,6665007,0
indiv2004,Chr28,10410896,133521,0
indiv2004,Chr3,15167108,0,0
indiv2004,Chr4,13872843,4780296,0
indiv2004,Chr5,15076098,3920261,0
indiv2004,Chr6,3052582,13165772,0
indiv2004,Chr7,13363427,505998,0
indiv2004,Chr8,3120931,13009225,0
indiv2004,Chr9,431902,16322022,0
indiv2006,Chr1,15474365,4728770,0
indiv2006,Chr10,17400020,0,0
indiv2006,Chr11,6448405,13845149,0
indiv2006,Chr12,9182391,8175603,0
indiv2006,Chr13,0,17613084,0
indiv2006,Chr14,5384125,7910838,0
indiv2006,Chr15,0,16833211,0
indiv2006,Chr16,1399449,12812948,0
indiv2006,Chr17,16513729,289621,0
indiv2006,Chr18,15002721,323263,0
indiv2006,Chr19,175685,14565948,0
indiv2006,Chr2,6172051,2059229,0
indiv2006,Chr20,11379564,378063,0
indiv2006,Chr21,2345183,12620320,0
indiv2006,Chr22,3815996,14596836,0
indiv2006,Chr23,11016096,10226249,0
indiv2006,Chr24,10675773,4825636,0
indiv2006,Chr25,145331,13873000,0
indiv2006,Chr26,11344520,91675,0
indiv2006,Chr27,2678342,8150769,0
indiv2006,Chr28,0,10544417,0
indiv2006,Chr3,0,15167108,0
indiv2006,Chr4,16639504,220093,0
indiv2006,Chr5,0,18155548,0
indiv2006,Chr6,0,16516902,0
indiv2006,Chr7,7328721,6482130,0
indiv2006,Chr8,615342,15514814,0
indiv2006,Chr9,0,16742382,0
indiv2007,Chr1,0,0,20284127
indiv2007,Chr10,11070736,6278389,0
indiv2007,Chr11,20392018,0,0
indiv2007,Chr12,3249762,14190869,0
indiv2007,Chr13,0,17613084,0
indiv2007,Chr14,10611704,2683259,0
indiv2007,Chr15,699265,17644814,0
indiv2007,Chr16,14148636,123958,0
indiv2007,Chr17,289621,16513729,0
indiv2007,Chr18,0,15529621,0
indiv2007,Chr19,0,14741520,0
indiv2007,Chr2,0,8358966,0
indiv2007,Chr20,11950647,378063,0
indiv2007,Chr21,5133777,10075281,0
indiv2007,Chr22,12340113,6099939,0
indiv2007,Chr23,17267451,4028908,0
indiv2007,Chr24,17253461,0,0
indiv2007,Chr25,145372,13873025,0
indiv2007,Chr26,11344520,91982,0
indiv2007,Chr27,10879794,0,0
indiv2007,Chr28,2242863,8286085,0
indiv2007,Chr3,0,15167108,0
indiv2007,Chr4,0,18653139,0
indiv2007,Chr5,2685060,16311621,0
indiv2007,Chr6,16024100,492113,0
indiv2007,Chr7,13869396,0,0
indiv2007,Chr8,615342,15514814,0
indiv2007,Chr9,16316713,425669,0
indiv2009,Chr1,0,0,20284127
indiv2009,Chr10,13308680,3206069,0
indiv2009,Chr11,18241197,2150821,0
indiv2009,Chr12,9916963,7557369,0
indiv2009,Chr13,5239454,12248176,0
indiv2009,Chr14,2683964,10613141,0
indiv2009,Chr15,0,18343020,0
indiv2009,Chr16,14148636,123958,0
indiv2009,Chr17,11748168,5055410,0
indiv2009,Chr18,14159489,1299197,0
indiv2009,Chr19,7307740,7433349,0
indiv2009,Chr2,6286417,2075251,0
indiv2009,Chr20,12328710,0,0
indiv2009,Chr21,1043543,14172245,0
indiv2009,Chr22,0,18440052,0
indiv2009,Chr23,20957266,338738,0
indiv2009,Chr24,17253461,0,0
indiv2009,Chr25,14018372,0,0
indiv2009,Chr26,3977565,5451631,0
indiv2009,Chr27,0,10879511,0
indiv2009,Chr28,10410896,133521,0
indiv2009,Chr3,10796443,4371101,0
indiv2009,Chr4,220534,18433046,0
indiv2009,Chr5,0,18996689,0
indiv2009,Chr6,1606151,14909999,0
indiv2009,Chr7,3165476,10625758,0
indiv2009,Chr8,15514814,615342,0
indiv2009,Chr9,16748615,0,0
indiv2012,Chr1,0,0,20284127
indiv2012,Chr10,0,17400020,0
indiv2012,Chr11,858427,18956574,0
indiv2012,Chr12,305475,17167913,0
indiv2012,Chr13,0,17613084,0
indiv2012,Chr14,10611704,2683964,0
indiv2012,Chr15,5006643,13291135,0
indiv2012,Chr16,0,14274141,0
indiv2012,Chr17,11028433,5774917,0
indiv2012,Chr18,0,15529774,0
indiv2012,Chr19,12524722,1921382,0
indiv2012,Chr2,8307773,43776,0
indiv2012,Chr20,378063,11950647,0
indiv2012,Chr21,13258018,1977249,0
indiv2012,Chr22,17961388,478370,0
indiv2012,Chr23,338738,20932172,0
indiv2012,Chr24,0,16926804,0
indiv2012,Chr25,13873000,0,0
indiv2012,Chr26,10470081,0,0
indiv2012,Chr27,7841003,2860093,0
indiv2012,Chr28,7355694,3163255,0
indiv2012,Chr3,9211841,5875753,0
indiv2012,Chr4,2853529,15735668,0
indiv2012,Chr5,5301903,13691162,0
indiv2012,Chr6,16024100,492113,0
indiv2012,Chr7,8296196,5574353,0
indiv2012,Chr8,12052221,4034392,0
indiv2012,Chr9,7036468,9705914,0
indiv2017,Chr1,11079803,9484530,0
indiv2017,Chr10,17400020,0,0
indiv2017,Chr11,15417914,4854827,0
indiv2017,Chr12,305475,17168857,0
indiv2017,Chr13,0,17613001,0
indiv2017,Chr14,0,13294963,0
indiv2017,Chr15,6894268,11387457,0
indiv2017,Chr16,14272594,0,0
indiv2017,Chr17,290086,16513729,0
indiv2017,Chr18,0,15529774,0
indiv2017,Chr19,1035094,12712117,0
indiv2017,Chr2,4842812,3474637,0
indiv2017,Chr20,0,12328710,0
indiv2017,Chr21,0,15235740,0
indiv2017,Chr22,2911675,15498125,0
indiv2017,Chr23,21296004,0,0
indiv2017,Chr24,17253891,0,0
indiv2017,Chr25,7343908,6674448,0
indiv2017,Chr26,11436525,0,0
indiv2017,Chr27,172817,10706933,0
indiv2017,Chr28,0,10545140,0
indiv2017,Chr3,10761393,4307956,0
indiv2017,Chr4,15740277,2853866,0
indiv2017,Chr5,12555635,6428709,0
indiv2017,Chr6,0,16516213,0
indiv2017,Chr7,0,13869396,0
indiv2017,Chr8,0,16130211,0
indiv2017,Chr9,11146280,5596102,0
indiv2019,Chr1,978967,0,19413712
indiv2019,Chr10,8860871,8531160,0
indiv2019,Chr11,1181790,19169865,0
indiv2019,Chr12,3030313,14426422,0
indiv2019,Chr13,0,17613001,0
indiv2019,Chr14,5618926,7678179,0
indiv2019,Chr15,4421986,13702736,0
indiv2019,Chr16,12424412,1775249,0
indiv2019,Chr17,0,16803350,0
indiv2019,Chr18,0,15529774,0
indiv2019,Chr19,14565517,175572,0
indiv2019,Chr2,8361008,0,0
indiv2019,Chr20,12262508,0,0
indiv2019,Chr21,15235267,0,0
indiv2019,Chr22,5562202,12877556,0
indiv2019,Chr23,338738,20957266,0
indiv2019,Chr24,12442477,2848196,0
indiv2019,Chr25,145331,13873000,0
indiv2019,Chr26,8495767,2538099,0
indiv2019,Chr27,0,10880033,0
indiv2019,Chr28,10410896,133521,0
indiv2019,Chr3,12950524,2203275,0
indiv2019,Chr4,220093,18433046,0
indiv2019,Chr5,10564155,8432526,0
indiv2019,Chr6,9314343,6870927,0
indiv2019,Chr7,505969,13363427,0
indiv2019,Chr8,3505682,12624625,0
indiv2019,Chr9,5165262,11577120,0
indiv2023,Chr1,12206696,0,8077431
indiv2023,Chr10,0,17400020,151510
indiv2023,Chr11,4636578,15737127,0
